"","obj_diffusion","obj_null","deltaCAIC","deltaAIC","range","ln_kappa2","corr_pop_dens"
"Zenaida_macroura",2577.1087616629,2577.10876142417,-1.99916366114394,-2.00000047745743,0.000891206073822158,8.06265564432433,0.999999999999998
"Tyrannus_verticalis",1604.24576437977,1604.24576422958,-2.00006650460637,-2.00000030037245,0.000818693858697524,8.14752111373547,0.999999999999998
"Contopus_sordidulus",1821.66098441828,1821.90369765681,-2.1268923228572,-1.51457352294528,2.79313763255251,0.0125552074137517,0.94648246667945
"Eremophila_alpestris",2274.5558845285,2281.17946387551,-2.55868896933134,11.2471586940301,17.5568829465955,-1.8257252928745,0.634357520141094
"Corvus_corax",2275.63663645967,2277.11536813365,-0.357370338698274,0.957463347956946,770.65062910424,-5.60751436008186,0.53194845899655
"Sturnus_vulgaris",2263.12634775899,2263.12634756001,-1.99849594273292,-2.00000039797123,0.000930861508869088,8.01912081783494,0.999999999999997
"Molothrus_ater",1891.38751022343,1891.39896006456,-1.97725112916669,-1.97710031775114,0.99410266675881,1.04563556202149,0.996578893688534
"Agelaius_phoeniceus",2561.65990170378,2561.6599014973,-1.99995875833611,-2.00000041296698,0.00238011187506508,7.08032855691357,0.999999999999833
"Sturnella_neglecta",2803.83732630409,2806.49024038014,-2.21553443482844,3.30582815210073,53.9338130647375,-2.94803683997305,0.547350765714265
"Euphagus_cyanocephalus",2170.70489372922,2170.77006971904,-1.90657945267867,-1.869648020358,1.29253827026209,0.783112834390717,0.99214988427237
"Spizella_passerina",1619.34998648794,1619.34998635749,-1.99915854056508,-2.00000026089947,0.00172387297119601,7.40290256289617,0.999999999999953
"Melospiza_melodia",1524.28663665554,1525.41705625843,-1.93565226718601,0.260839205781849,8.25968297442014,-1.0716654351356,0.77028726404905
"Pipilo_maculatus",1694.19203312226,1697.22736590527,-5.84508251239731,4.07066556603422,14.1249168018326,-1.60821961603949,0.66846720452197
"Pheucticus_melanocephalus",1482.3659059709,1488.08963750612,-8.07196752289019,9.44746307042806,8.42315098939738,-1.09126321417823,0.766391985434619
"Piranga_ludoviciana",1710.32496347248,1712.13344604039,-2.93378230124381,1.61696513581228,1266.28928392688,-6.10412530807344,0.531897680183333
"Petrochelidon_pyrrhonota",2148.66693924052,2149.31859931689,-0.634047160356204,-0.696679847260384,2.41902404148325,0.156356600657343,0.960170898104618
"Hirundo_rustica",1629.73093204375,1629.88347800179,-1.66679321998708,-1.69490808390947,2.19497793303323,0.253548777651139,0.967909389363617
"Vireo_gilvus",1719.96474604522,1720.48656496975,-2.42993139471309,-0.956362150925997,929.132260643358,-5.79453032667075,0.531923295105136
"Troglodytes_aedon",1610.44810762448,1610.69483478274,-1.74360350884672,-1.50654568347363,2.98968888686612,-0.0554485599336283,0.939062852481872
"Turdus_migratorius",2751.20345226848,2751.05128068669,-1.84729033053918,-2.30434316357059,2028.73469622668,-6.57544680451086,0.531879441602469
